แล้ว	lɛ́ːw
ซุบซิบ	súp síp
มอบ	mɔ̂ːp
ความเข้าอกเข้าใจ	kʰwaːm kʰâw ʔòk kʰâw tɕaj
แอสซิค	ʔɛ̀ːt sík
สังกะสี	sǎŋ kàʔ sǐː
มิตรภาพ	mít tràʔ pʰâːp
สารภาพ	sǎː rá pʰâːp
ที่ปรึกษา	tʰîː prɯ̀k sǎː
ลาออก	laː ʔɔ̀ːk
ตกแต่งใหม่	tòk tɛ̀ŋ màj
กำลังออกอากาศ	kam laŋ ʔɔ̀ːk ʔaː kàːt
หมายเหตุ	mǎːj hèːt
บังคับ	baŋ kʰáp
การเคลื่อนไหว	kaːn kʰlɯ̂ːan wǎj
งี่เง่า	ŋîː ŋâw
การปรับเปลี่ยน	kaːn pràp plìːan
คัตเตอร์	kʰát tɤː
อาณาเขต	ʔaː naː kʰèːt
ลาก	lâːk
ต้นทุน	tôn tʰun
จม	tɕom
รวบรวม	rûːap ruːam
สนามรบ	sà nǎːm róp
ความอยุติธรรม	kʰwaːm ʔàʔ jút tìʔ tʰam
ทะเล	tʰáʔ leː
ช่วงระยะการเดินทาง	tɕʰûːaŋ ráʔ jáʔ kaːn dɤːn tʰaːŋ
วาง	waːŋ
รถพยาบาล	rót pʰá jaː baːn
เป็นหนี้	pen nîː
โอฬาร	ʔoː laːn
เสื้อ	sɯ̂ːa
ชุมชน	tɕʰum tɕʰon
ผู้นำเสนอ	pʰûː nam sěː nɔː
ท่าทาง	tʰâː tʰaːŋ
สื่อสาร	sɯ̀ː sǎːn
อื่น ๆ	ʔɯ̀ːn ʔɯ̀ːn
อนามัย	ʔà naː maj
ครอสโอเวอร์	kʰrɔ̂ːt ʔoː wɤː
จูบ	tɕùːp
คุ้นเคย	kʰún kʰɤːj
เสริมสร้าง	sɤ̌ːm sâːŋ
ชายฝั่ง	tɕʰaːj fàŋ
โป๊ป	póːp
แขนขา	kʰɛ̌ːn kʰǎː
สตั๊ด	sà tát
การกระจาย	kaːn kràʔ tɕaːj
โลกแห่งความจริง	lôːk hɛ̀ŋ kʰwaːm tɕiŋ
หนังสือปกอ่อน	nǎŋ sɯ̌ː pòk ʔɔ̀ːn
รูรับแสง	ruː ráp sɛ̌ːŋ
ปริมาณ	pà ríʔ maːn
เมฆ	mêːk
ตัวช่วยสร้าง	tuːa tɕʰûaj sà ráːŋ
การป้องกัน	kaːn pɔ̂ːŋ kan
ระเหย	ráʔ hɤ̌ːj
ล้าสมัย	láː sà mǎj
คล้ายกัน	kʰláːj kan
ผิวหนัง	pʰǐw nǎŋ
เครื่องเขียน	kʰrɯ̂ːaŋ kʰǐːan
ไม้พาย	máːj pʰaːj
ก้าวหน้า	kâːw nâː
โปรแกรมเมอร์	proː krɛːm mɤː
ลักษณะ	lák sàʔ nàʔ
คอร์ป	kʰɔ̂ːp
บร็องโก	bà rɔŋ koː
กองทุน	kɔːŋ tʰun
หลงระเริง	lǒŋ ráʔ rɤːŋ
ไขมัน	kʰǎj man
ประสานงาน	pràʔ sǎːn ŋaːn
ดำเนินการต่อ	dam nɤːn kaːn tɔ̀ː
อนุบาล	ʔà núʔ baːn
ปกครอง	pòk kʰrɔːŋ
สับสน	sàp sǒn
เชื่อมโยงกัน	tɕʰɯ̂ːam joːŋ kan
ซาติน	saː tin
อย่างมากมาย	ʔà jâːŋ mâːk maːj
ตัวอย่าง	tuːa jàːŋ
นุ่มขึ้น	nûm kʰɯ̂n
การปิดผนึก	kaːn pìt pʰà nɯ́k
การจอง	kaːn tɕɔːŋ
เสียงรบกวน	sǐːaŋ róp kuːan
ที่ยี่สิบ	tʰîː jîː sìp
ตรอก	trɔ̀ːk
น่าอัศจรรย์	nâː ʔàt sà tɕan
สอดใส่	sɔ̀ːt sàj
กฤษฎีกา	krìt sà diː kaː
ไม่เป็นทางการ	mâj pen tʰaːŋ kaːn
เขียนใหม่	kʰǐːan màj
กำหนดเวลา	kam nòt weː laː
ลงมา	loŋ maː
ช่องท้อง	tɕʰɔ̂ːŋ tʰɔ́ːŋ
ดัด	dàt
เชื้อรา	tɕʰɯ́ːa raː
ส่วนกลาง	sùːan klaːŋ
โม	moː
ไม่ได้ใช้งาน	mâj dâj tɕʰáj ŋaːn
สโลแกน	sà loː kɛːn
การจัดส่ง	kaːn tɕàt sòŋ
เจ้าบ่าว	tɕâw bàːw
เกณฑ์ทหาร	keːn tʰá hǎːn
ตะเข็บ	tàʔ kʰèp
สารสกัด	sǎːn sà kàt
แปลก	plɛ̀ːk
ฝูงบิน	fǔːŋ bin
บริสุทธิ์	bɔː ríʔ sùt
เสื้อกั๊ก	sɯ̂ːa kák
สูบ	sùːp
เปลี่ยนชื่อ	plìːan tɕʰɯ̂ː
ลุก	lúk
จูบ	tɕùːp
หูหนวก	hǔː nùːak
สัตว์เลี้ยงลูกด้วยนม	sàt líːaŋ lûːk dûaj nom
การเดินทาง	kaːn dɤːn tʰaːŋ
ความชั่วร้าย	kʰwaːm tɕʰûːa ráːj
ตบ	tòp
สินค้า	sǐn kʰáː
ใกล้	klâj
งดงาม	ŋót ŋaːm
ซื่อ	sɯ̂ː
ล่วงหน้า	lûːaŋ nâː
ค่าเฉลี่ย	kʰâː tɕʰà lìːa
แตร	trɛː
ตู้กับข้าว	tûː kàp kʰâːw
ดูเถิด	duː tʰɤ̀ːt
ไฟร์วอลล์	faj wɔːn
เหยื่อ	jɯ̀ːa
สีซีดจาง	sǐː sîːt tɕaːŋ
ด้วยความสมัครใจ	dûaj kʰwaːm sà màk tɕaj
สร้างแรงบันดาลใจ	sà ráːŋ rɛːŋ ban daːn tɕaj
ผื่น	pʰɯ̀ːn
จ้อง	tɕɔ̂ːŋ
สอดคล้อง	sɔ̀ːt kʰlɔ́ːŋ
ใบสำคัญแสดงสิทธิ	baj sǎm kʰan sɛ̌ː doŋ sìt tʰíʔ
ภาพหน้าจอ	pʰâːp nâː tɕɔː
สำส่อน	sǎm sɔ̀ːn
กำลังดำเนินการ	kam laŋ dam nɤːn kaːn
หนี้สิน	nîː sǐn
แยกความแตกต่าง	jɛ̂ːk kʰwaːm tɛ̀ːk tàːŋ
สิ่งที่แนบมา	sìŋ tʰîː nɛ̂ːp maː
ปิโตรเลียม	pìʔ troː liːam
ไร้สาระ	ráj sǎː ráʔ
คำแนะนำ	kʰam nɛ́ʔ nam
สำนักงานใหญ่	sǎm nák ŋaːn jàj
การจำลอง	kaːn tɕam lɔːŋ
ขอบคุณ	kʰɔ̀ːp kʰun
ลงทะเบียน	loŋ tʰáʔ biːan
เสนอ	sà nɤ̌ː
เฉพาะถิ่น	tɕʰà pʰɔ̀ʔ tʰìn
ริษยา	rít sàʔ jǎː
หยิ่ง	jìŋ
แยก	jɛ̂ːk
กระสอบ	kràʔ sɔ̀ːp
เนื้อสัตว์	nɯ́ːa sàt
เกณฑ์	keːn
การจัดหา	kaːn tɕàt hǎː
ชง	tɕʰoŋ
ชาติพันธุ์	tɕʰâːt tìʔ pʰan
หาย	hǎːj
ความเครียด	kʰwaːm kʰrîːat
ห้องครัว	hɔ̂ːŋ kʰruːa
ไกล	klaj
ซุปเปอร์มาร์เก็ต	súp pɤː maː kèt
คาเฟ่	kʰaː fêʔ
ไร้ค่า	ráj kʰâː
ทับถม	tʰáp tʰǒm
สังเกต	sǎŋ kèːt
การเดินเรือ	kaːn dɤːn rɯːa
ระบาย	ráʔ baːj
ปลดล็อค	plòt lɔ́k
สมดุล	sà má dun
เคลือบ	kʰlɯ̂ːap
จิตวิญญาณ	tɕìt win jaːn
เครื่องบินไอพ่น	kʰrɯ̂ːaŋ bin ʔaj pʰôn
คำนวณ	kʰam nuːan
ความเป็นมืออาชีพ	kʰwaːm pen mɯː ʔaː tɕʰîːp
ลิง	liŋ
คาเฟอีน	kʰaː feː ʔiːn
ไม่โดดเด่น	mâj dòːt dèn
กระโดด	kràʔ dòːt
คอนโซล	kʰɔːn soːn
ได้รับประโยชน์	dâj ráp pràʔ jôːt
ไม่ถูกต้อง	mâj tʰùːk tɔ̂ŋ
ลูกกระจ๊อก	lûːk kràʔ tɕɔ́ːk
โรคระบาด	rôːk ráʔ bàːt
อีเบย์	ʔiː beː
ภูเขาไฟ	pʰuː kʰǎw faj
ยอมรับ	jɔːm ráp
ผู้เยาว์	pʰûː jaw
ปอด	pɔ̀ːt
ข้อบกพร่อง	kʰɔ̂ː bòk pʰrɔ̂ːŋ
เรียกว่า	rîːak wâː
ตรวจสอบ	trùːat sɔ̀ːp
ฝูงสัตว์	fǔːŋ sàt
ค่าโดยสาร	kʰâː doːj sǎːn
หนึ่งปี	nɯ̀ŋ piː
ละเว้น	láʔ wén
การด้อยค่า	kaːn dɔ̂ːj kʰâː
เด็ก	dèk
กวีนิพนธ์	kà wiː níʔ pʰon
เป็นขั้นเป็นตอน	pen kʰân pen tɔːn
กลั้น	klân
เครื่องประดับ	kʰrɯ̂ːaŋ pràʔ dàp
หมดอายุ	mòt ʔaː júʔ
ผิดปกติ	pʰìt pà kà tìʔ
ว่าง	wâːŋ
เส้นเลือด	sên lɯ̂ːat
คัดท้าย	kʰát tʰáːj
ตกระกำลำบาก	tòk ráʔ kam lam bàːk
ตัวถัง	tuːa tʰǎŋ
สูงกว่า	sǔːŋ kwàː
กอด	kɔ̀ːt
หลน	lǒn
เอียง	ʔiːaŋ
การเผชิญหน้า	kaːn pʰà tɕʰɤːn nâː
อาภรณ์	ʔaː pʰon
ฉุด	tɕʰùt
การเสียสละ	kaːn sǐːa sà làʔ
ร้องไห้	rɔ́ːŋ hâj
ลูกปัด	lûːk pàt
นักปั่นจักรยาน	nák pàn tɕàk kràʔ jaːn
กล้าหาญ	klâː hǎːn
คำชี้แจง	kʰam tɕʰíː tɕɛːŋ
แฮกเกอร์	hɛ̂ːk kɤː
คิดค่าบริการ	kʰít kʰâːp ríʔ kaːn
ญี่ปุ่น	jîː pùn
บรรลุ	ban lúʔ
ใจจดใจจ่อ	tɕaj tɕòt tɕaj tɕɔ̀ː
สัมพันธมิตร	sǎm pʰan tʰáʔ mít
ช่วง	tɕʰûːaŋ
การรับประกัน	kaːn ráp pràʔ kan
ไก่ชน	kàj tɕʰon
ดิน	din
อาสา	ʔaː sǎː
เล็กน้อย	lék nɔ́ːj
ส่วนหัว	sùːan hǔːa
นักจิตวิทยา	nák tɕìt tàʔ wít tʰá jaː
เสา	sǎw
นักแต่งเพลง	nák tɛ̀ŋ pʰleːŋ
เชื่อถือได้	tɕʰɯ̂ːa tʰɯ̌ː dâj
ไม่เหมาะสม	mâj mɔ̀ʔ sǒm
ปลอบ	plɔ̀ːp
เอทานอล	ʔeː tʰaː nɔːn
เข้ารหัส	kʰâw rá hàt
สถานการณ์	sà tʰǎːn ná kaːn
งู	ŋuː
เพราะ	pʰrɔ́ʔ
การกระจัด	kaːn kràʔ tɕàt
ปริญญาเอก	pà rin jaː ʔèːk
ล้าน	láːn
การผสาน	kaːn pʰà sǎːn
เจ้าสาว	tɕâw sǎːw
การพังทลาย	kaːn pʰaŋ tʰá laːj
อายุยืน	ʔaː júʔ jɯːn
ไมค์	maj
แพนเค้ก	pʰɛːn kʰék
รอยขีดข่วน	rɔːj kʰìːt kʰùːan
ประพฤติมิชอบ	pràʔ pʰrɯ́t míʔ tɕʰɔ̂ːp
จักรยาน	tɕàk kràʔ jaːn
กระดานชนวน	kràʔ daːn tɕʰá nuːan
เรือยอทช์	rɯːa jɔ̂ːt
โปรโมเตอร์	proː moː tɤː
ตัดแต่ง	tàt tɛ̀ŋ
เครื่องปรับอากาศ	kʰrɯ̂ːaŋ pràp ʔaː kàːt
ฝ่าย	fàːj
ถูกทรมาน	tʰùːk tʰɔːn maːn
ฟลักซ์	flák
คอร์ด	kʰɔ̂ːd
กล้วย	klûaj
การยับยั้ง	kaːn jáp jáŋ
โทรลล์	tʰoː ron
พระอาทิตย์ขึ้น	pʰráʔ ʔaː tʰít kʰɯ̂n
มหัศจรรย์	má hàt sà tɕan
จอห์น	tɕɔːn
ประเด็นสำคัญ	pràʔ den sǎm kʰan
เบียร์	biːa
ค่อยเป็นค่อยไป	kʰɔ̂ːj pen kʰɔ̂ːj paj
น่านับถือ	nâː náp tʰɯ̌ː
ภูมิทัศน์	pʰuː míʔ tʰát
บวช	bùːat
สุนัขจิ้งจอก	sùʔ nák tɕîŋ tɕɔ̀ːk
ไม่มีที่ติ	mâj miː tʰîː tìʔ
โมเด็ม	moː dem
ด่า	dàː
ที่พักอาศัย	tʰîː pʰák ʔaː sǎj
ปฏิบัติตาม	pà tìʔ bàt taːm
ชั่วนิรันดร์	tɕʰûːa níʔ ran
เสียงดัง	sǐːaŋ daŋ
เฮโรอีน	heː roː ʔiːn
สุภาพบุรุษ	sùʔ pʰâːp bùʔ rùt
จำกัด	tɕam kàt
พร้อมกัน	pʰrɔ́ːm kan
มอลต์	mɔːn
การย่อยอาหาร	kaːn jɔ̂ːj ʔaː hǎːn
ไอออน	ʔaj ʔɔːn
เงินสเตอร์ลิง	ŋɤn sà tɤː liŋ
ความเชื่อมั่น	kʰwaːm tɕʰɯ̂ːa mân
ทินเนอร์	tʰin nɤː
ปาฏิหาริย์	paː tìʔ hǎːn
จุดยืน	tɕùt jɯːn
แรงงานข้ามชาติ	rɛːŋ ŋaːn kʰâːm tɕʰaː tìʔ
สัญชาติ	sǎn tɕʰâːt
ข้อมูลเมตา	kʰɔ̂ː muːn meː taː
รอ	rɔː
โพลี	pʰoː liː
หายนะ	hǎː já náʔ
การสะท้อน	kaːn sàʔ tʰɔ́ːn
ไม่เต็มใจ	mâj tem tɕaj
หลักประกัน	làk pràʔ kan
ขัน	kʰǎn
บั่นทอน	bàn tʰɔːn
หุ่นเชิด	hùn tɕʰɤ̂ːt
เดิมพัน	dɤːm pʰan
ลูกบาศก์	lûːk bàːt
ตกต่ำ	tòk tàm
หลอดเลือดหัวใจ	lɔ̀ːt lɯ̂ːat hǔːa tɕaj
น้ำมัน	nám man
อุปกรณ์อาบน้ำ	ʔùp kɔːn ʔàːp náːm
ทางร่างกาย	tʰaːŋ râːŋ kaːj
แสดงออก	sà dɛːŋ ʔɔ̀ːk
การร่าง	kaːn râːŋ
ทอด	tʰɔ̂ːt
โหระพา	hǒː ráʔ pʰaː
พื้นผิว	pʰɯ́ːn pʰǐw
พุดดิ้ง	pʰút dîŋ
ภาพเงา	pʰâːp ŋaw
กายวิภาคศาสตร์	kaːj já wíʔ pʰâːk kʰáʔ sàːt
กระตือรือร้น	kràʔ tɯː rɯː rón
รายได้ขั้นต่ำ	raːj dâj kʰân tàm
ส่องแสง	sɔ̀ːŋ sɛ̌ːŋ
บั่นทอน	bàn tʰɔːn
แทนที่	tʰɛːn tʰîː
โฮ	hoː
แตกต่างกัน	tɛ̀ːk tàːŋ kan
ประหยัด	pràʔ jàt
อนุญาต	ʔà núʔ jâːt
ขอบเขต	kʰɔ̀ːp kʰèːt
จัดแสดง	tɕàt sà dɛːŋ
ฟิวส์	fiw
เป็นพยาน	pen pʰá jaːn
เลี้ยงลูกด้วยนม	líːaŋ lûːk dûaj nom
เป็ด	pèt
บอลลูน	bɔːn luːn
พจน์	pʰót
คำเชิญ	kʰam tɕʰɤːn
กฎหมาย	kòt mǎːj
มันวาว	man waːw
สิ่งมีชีวิต	sìŋ miː tɕʰiː wít
เวลานาน	weː laː naːn
เตาเผา	taw pʰǎw
พิษ	pʰít
ประพันธ์	pràʔ pʰan
นอกสถานที่	nɔː kòt tʰǎːn tʰîː
ห้าปี	hâː piː
อย่างมาก	jàːŋ mâːk
ต้ม	tôm
ทำนาย	tʰam naːj
นางเอก	naːŋ ʔèːk
สองในสาม	sɔ̌ːŋ naj sǎːm
แพ้	pʰɛ́ː
น่ากลัว	nâː kluːa
พระราม	pʰráʔ raːm
การคืนดี	kaːn kʰɯːn diː
การป้องกัน	kaːn pɔ̂ːŋ kan
การกดขี่	kaːn kòt kʰìː
ยกเครื่อง	jók kʰrɯ̂ːaŋ
ปริมณฑล	pà ríʔ mon tʰon
บาดแผล	bàːt pʰlɛ̌ː
การปลูกถ่าย	kaːn plùːk tʰàːj
ท่อระบายน้ำ	tʰɔ̂ː ráʔ baːj náːm
บรรพบุรุษ	ban pʰá bùʔ rùt
การถือกำเนิด	kaːn tʰɯ̌ː kam nɤ̂ːt
หนอน	nɔ̌ːn
สตาร์ทอัพ	sà tàːt ʔàp
ปฏิเสธ	pà tìʔ sèːt
ส่วนประกอบ	sùːan pràʔ kɔ̀ːp
ร่ำรวย	râm ruaj
แคนาดา	kʰɛː naː daː
บอยเลอร์	bɔːj lɤː
วัยรุ่น	waj rûn
บ่งชี้	bòŋ tɕʰíː
ความทุกข์ยาก	kʰwaːm tʰúk jâːk
ดูถูก	duː tʰùːk
ท่อ	tʰɔ̂ː
ติดกาว	tìt kaːw
ความสัมพันธ์กัน	kʰwaːm sǎm pʰan kan
กระชับ	kràʔ tɕʰáp
บุก	bùk
ซาวน่า	saːw nâː
ระเบิด	ráʔ bɤ̀ːt
ขัดขวาง	kʰàt kʰwǎːŋ
ไม่มีเหตุผล	mâj miː hèːt pʰǒn
เบื้องต้น	bɯ̂ːaŋ tôn
สละสิทธิ์	sà làʔ sìt
จุดเริ่มต้น	tɕùt rɤ̂ːm tôn
ลงๆ	loŋ loŋ
หรูหรา	rǔː rǎː
ตู้โชว์	tûː tɕʰoː
นิกเกิล	ník kɤːn
อินทรีย์	ʔin siː
ครอบคลุม	kʰrɔ̂ːp kʰlum
ล่องเรือ	lɔ̂ːŋ rɯːa
เฉพาะ	tɕʰà pʰɔ́ʔ
กราดเกรี้ยว	kràːt krîːaw
การบังคับบัญชา	kaːn baŋ kʰáp ban tɕʰaː
ความไม่สะดวก	kʰwaːm mâj sàʔ dùːak
